# Python MESMA for LE07_LT05_20111026_20111027_20200121 run on 20200123 
#  MESMA frac range = 0.2-1 
#  Northings (y); Latitude; Eastings (x) Longitude; Kelp Fraction
4304850 38.8904446 439560 -123.6969108 0.50802
4304850 38.8904467 439590 -123.6965649 0.62496
4304850 38.8904611 439800 -123.6941437 0.32542
4304820 38.8901722 439530 -123.6972541 0.35403
4304820 38.8901763 439590 -123.6965623 0.51128
4304820 38.8901784 439620 -123.6962164 0.43277
4304820 38.8901805 439650 -123.6958705 0.24391
4304820 38.8901907 439800 -123.6941410 0.25246
4304790 38.8899019 439530 -123.6972514 0.36277
4304790 38.8899081 439620 -123.6962138 0.36277
4304790 38.8899101 439650 -123.6958679 0.35410
4304790 38.8899122 439680 -123.6955220 0.53490
4304790 38.8899142 439710 -123.6951761 0.31025
4304790 38.8899163 439740 -123.6948302 0.31416
4304760 38.8896480 439770 -123.6944817 0.35312
4304700 38.8890992 439650 -123.6958600 0.50978
4304700 38.8891012 439680 -123.6955141 0.53462
4304610 38.8882944 439740 -123.6948144 0.47612
4304580 38.8880240 439740 -123.6948118 0.63609
4304580 38.8880261 439770 -123.6944659 0.25263
4304580 38.8880281 439800 -123.6941200 0.30858
4304550 38.8877558 439770 -123.6944632 0.36576
4304550 38.8877578 439800 -123.6941174 0.45614
4304520 38.8874854 439770 -123.6944606 0.33425
4304520 38.8874875 439800 -123.6941147 0.32420
4304490 38.8872089 439680 -123.6954956 0.25174
4304490 38.8872151 439770 -123.6944580 0.32395
4304490 38.8872172 439800 -123.6941121 0.33422
4304250 38.8850812 440190 -123.6895948 0.35305
4304220 38.8848047 440100 -123.6906297 0.26833
4304220 38.8848068 440130 -123.6902839 0.30905
4304220 38.8848088 440160 -123.6899380 0.49763
4304220 38.8848109 440190 -123.6895921 0.67449
4304220 38.8848129 440220 -123.6892463 0.56554
4304220 38.8848150 440250 -123.6889004 0.36242
4304190 38.8845344 440100 -123.6906271 0.36380
4304190 38.8845365 440130 -123.6902813 0.36186
4304190 38.8845385 440160 -123.6899354 0.38548
4304190 38.8845405 440190 -123.6895895 0.36884
4304190 38.8845426 440220 -123.6892437 0.54780
4304190 38.8845446 440250 -123.6888978 0.73073
4304190 38.8845467 440280 -123.6885519 0.30841
4304160 38.8842661 440130 -123.6902786 0.43357
4304160 38.8842682 440160 -123.6899328 0.34744
4304160 38.8842702 440190 -123.6895869 0.42740
4304160 38.8842723 440220 -123.6892410 0.62829
4304160 38.8842743 440250 -123.6888952 0.50161
4304160 38.8842763 440280 -123.6885493 0.32983
4304130 38.8839978 440160 -123.6899302 0.36510
4304130 38.8839999 440190 -123.6895843 0.35094
4304130 38.8840019 440220 -123.6892384 0.71144
4304130 38.8840040 440250 -123.6888926 0.47978
4304100 38.8837296 440190 -123.6895817 0.30218
4304100 38.8837316 440220 -123.6892358 0.43780
4304070 38.8834531 440100 -123.6906167 0.36313
4304070 38.8834551 440130 -123.6902708 0.30057
4304070 38.8834592 440190 -123.6895791 0.43780
4304070 38.8834613 440220 -123.6892332 0.47923
4304040 38.8831848 440130 -123.6902682 0.40886
4304040 38.8831869 440160 -123.6899223 0.32714
4304040 38.8831910 440220 -123.6892306 0.45522
4304040 38.8831930 440250 -123.6888847 0.52151
4304010 38.8829145 440130 -123.6902656 0.32380
4304010 38.8829165 440160 -123.6899197 0.40939
4303980 38.8826462 440160 -123.6899171 0.30815
4303920 38.8821096 440220 -123.6892202 0.32408
4303890 38.8818393 440220 -123.6892175 0.32816
4303890 38.8818414 440250 -123.6888717 0.40963
4303860 38.8815731 440280 -123.6885232 0.24666
4303830 38.8813068 440340 -123.6878289 0.27899
4303800 38.8810385 440370 -123.6874805 0.32505
4300890 38.8549527 442410 -123.6637187 0.23332
4300800 38.8541437 442440 -123.6633654 0.37668
4300170 38.8484491 442170 -123.6664240 0.37141
4300050 38.8474129 442860 -123.6584630 0.34870
4299120 38.8390849 443670 -123.6490533 0.26217
4298880 38.8369184 443610 -123.6497249 0.27411
4298880 38.8369222 443670 -123.6490336 0.20620
4298850 38.8366480 443610 -123.6497224 0.31879
4298850 38.8366500 443640 -123.6493768 0.36114
4298820 38.8363796 443640 -123.6493743 0.34534
4298820 38.8363815 443670 -123.6490287 0.38667
4298790 38.8361112 443670 -123.6490263 0.57275
4298760 38.8358409 443670 -123.6490238 0.38667
4298760 38.8359188 444900 -123.6348528 0.32051
4298730 38.8355782 443790 -123.6476388 0.30112
4298670 38.8350357 443760 -123.6479795 0.47116
4298670 38.8350376 443790 -123.6476339 0.45177
